minute,mid,bid,ask,signal,quoted_bid,quoted_ask,inventory,cash,execution,pnl
57,88.81968587581034,88.79468587581033,88.84468587581034,-0.9890780074861916,88.7749043156606,88.82490431566062,-4,379.021235937486,,23.74249243424464
58,90.38771168490267,90.36271168490266,90.41271168490267,0.9896630803052727,90.38250494650877,90.43250494650879,-4,379.021235937486,,17.470389197875306
59,90.58962672674245,90.56462672674245,90.61462672674246,0.9823674644179912,90.58427407603081,90.63427407603082,-4,379.021235937486,,16.662729030516175
60,89.55901657648903,89.53401657648902,89.58401657648903,0.8976781434848234,89.55197013935872,89.60197013935873,-4,379.021235937486,,20.785169631529868
61,89.91131995672096,89.88631995672095,89.93631995672096,0.8978868794882344,89.90427769431072,89.95427769431073,-3,289.11695824317525,buy,19.382998373012356
62,88.85166578354782,88.82666578354781,88.87666578354782,0.046116704574799446,88.82758811763931,88.87758811763932,-3,289.11695824317525,,22.561960892531772
63,89.0791027164287,89.05410271642869,89.1041027164287,-0.9557302463380595,89.03498811150193,89.08498811150194,-3,289.11695824317525,,21.879650093889154
64,88.27046291855044,88.24546291855043,88.29546291855044,-0.9986546503128263,88.22548982554417,88.27548982554418,-4,377.39244806871943,sell,24.310596394517688
65,91.01103310949253,90.98603310949252,91.03603310949254,0.877302347903468,91.0035791564506,91.05357915645061,-5,468.44602722517004,sell,13.390861677707392
66,91.10886397883529,91.08386397883528,91.1338639788353,0.7237039627202775,91.09833805808968,91.14833805808969,-5,468.44602722517004,,12.901707330993588
67,90.3000740356502,90.27507403565019,90.3250740356502,0.8230383686298144,90.29153480302278,90.3415348030228,-5,468.44602722517004,,16.945657046919052
68,89.65196394430018,89.62696394430017,89.67696394430018,0.45551767432465856,89.63607429778666,89.68607429778667,-5,468.44602722517004,,20.186207503669152
69,89.4955211984661,89.47052119846609,89.5205211984661,0.9277756307855599,89.4890767110818,89.5390767110818,-5,468.44602722517004,,20.968421232839546
70,88.57275143700471,88.5477514370047,88.59775143700472,-0.988516572855076,88.52798110554761,88.57798110554762,-5,468.44602722517004,,25.582270040146454
71,88.10314177415754,88.07814177415753,88.12814177415754,-0.9978487368159961,88.05818479942121,88.10818479942122,-5,468.44602722517004,,27.930318354382393
72,87.98439771172377,87.95939771172377,88.00939771172378,-0.9949210287204939,87.93949929114936,87.98949929114937,-6,556.4355265163194,sell,28.529140245976805
73,87.24453106104018,87.21953106104017,87.26953106104018,-0.9939792435374731,87.19965147616942,87.24965147616943,-6,556.4355265163194,,32.96834015007835
74,88.85687082147912,88.83187082147911,88.88187082147913,-0.7752533087453153,88.8163657553042,88.86636575530422,-6,556.4355265163194,,23.294301587444693
75,89.28541560332837,89.26041560332837,89.31041560332838,0.7140979419545919,89.27469756216746,89.32469756216747,-6,556.4355265163194,,20.723032896349196
76,89.13458405999317,89.10958405999317,89.15958405999318,0.8315692833660956,89.12621544566049,89.1762154456605,-6,556.4355265163194,,21.62802215636043
77,88.90336194588399,88.87836194588398,88.92836194588399,0.8059892880592453,88.89448173164517,88.94448173164518,-6,556.4355265163194,,23.01535484101555
78,88.2829952113807,88.25799521138069,88.3079952113807,0.9912449495291834,88.27782011037127,88.32782011037128,-5,468.15770640594815,buy,26.742730349044677
79,87.60730398680573,87.58230398680573,87.63230398680574,-0.9469638611421914,87.56336470958288,87.6133647095829,-5,468.15770640594815,,30.121186471919486
80,86.26609808710306,86.24109808710305,86.29109808710307,-0.9893293768987701,86.22131149956508,86.27131149956509,-5,468.15770640594815,,36.82721597043286
81,87.90832929847645,87.88332929847644,87.93332929847645,-0.8481590734019855,87.8663661170084,87.91636611700841,-5,468.15770640594815,,28.61605991356589
82,87.681923494702,87.656923494702,87.70692349470201,-0.9214795414571703,87.63849390387286,87.68849390387287,-5,468.15770640594815,,29.748088932438122
83,88.91871604782986,88.89371604782986,88.94371604782987,0.5856093527138916,88.90542823488413,88.95542823488414,-5,468.15770640594815,,23.564126166798815
84,89.06913516303604,89.04413516303603,89.09413516303604,0.8603900763743404,89.06134296456352,89.11134296456353,-6,557.2690493705117,sell,22.85423839229543
85,87.67557523188162,87.65057523188162,87.70057523188163,0.9675105554179838,87.66992544298998,87.71992544298999,-6,557.2690493705117,,31.21559797922191
86,87.83732890216653,87.81232890216653,87.86232890216654,-0.1015929049173639,87.81029704406818,87.86029704406819,-6,557.2690493705117,,30.245075957512427
